2016-12-15 12:39:39.355 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:40.071 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:40.786 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:40.787 -0700	Log		that took 0.715881 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:41.499 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:42.216 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:42.930 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:42.930 -0700	Log		that took 0.713539 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:43.642 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:44.358 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:45.075 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:45.076 -0700	Log		that took 0.716363 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:45.788 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:46.499 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:47.215 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:47.216 -0700	Log		that took 0.716222 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:47.931 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:48.649 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:49.366 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:49.367 -0700	Log		that took 0.717631 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:50.080 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:50.794 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:51.511 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:51.512 -0700	Log		that took 0.717378 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:52.224 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:52.937 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:53.651 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:53.652 -0700	Log		that took 0.714103 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:54.367 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
